;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
1635;The Finest Hours;52099090;27569558;117;2016;ABD;Craig Gillespie;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1636;Mother's Day;48782670;32492859;112;2010;ABD;Darren Lynn Bousman;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1637;A Monster Calls;47309313;3740823;108;2016;Multi Nation;Juan Antonio Bayona;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1638;The Handmaiden;37692886;2006788;145;2016;Güney Kore;Park Chan-wook;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1639;Snowden;37357216;21587519;134;2016;Multi Nation;Oliver Stone;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1640;Perfect Strangers;31254929;;97;2016;?talya;Paolo Genovese;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1641;Perfect Strangers;33262366;1014507;97;2016;?talya;Paolo Genovese;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1642;Nocturnal Animals;30311857;10663357;116;2016;ABD;Tom Ford;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1643;The Founder;24121245;12786053;115;2016;ABD;John Lee Hancock;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1644;The Fate of the Furious;1236005118;226008385;136;2017;ABD;F. Gary Gray;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1645;Despicable Me 3;1034799409;264624300;90;2017;ABD;"Pierre Coffin
                                        ,                                                                                                                     Kyle Balda";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1646;Jumanji: Welcome to the Jungle;962077546;404515480;119;2017;ABD;Jake Kasdan;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1647;Spider-Man: Homecoming;880166924;334201140;133;2017;ABD;Jon Watts;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1648;Guardians of the Galaxy Vol. 2;863756051;389813101;137;2017;ABD;James Gunn;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1649;Wonder Woman;822963408;412563408;141;2017;ABD;Patty Jenkins;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1650;Pirates of the Caribbean: Dead Men Tell No Tales;794861794;172558876;128;2017;ABD;"Joachim Rønning
                                        ,                                                                                                                     Espen Sandberg";0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1651;It;702781748;327481748;135;2017;ABD;Andrés Muschietti;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1652;Justice League;661324295;229024295;120;2017;Multi Nation;Zack Snyder;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1653;Logan;619021436;226277068;137;2017;ABD;James Mangold;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
