;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
577;673;Water For Elephants;122;2011;ABD;117094902;Richard LaGravenese;15 Nisan 2011;Nisan;spring;Francis Lawrence;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
579;675;The Painted Veil;125;2006;Multi Nation;26910847;"Ron Nyswaner
                                        ";16 ?ubat 2007;?ubat;winter;John Curran;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
580;676;The Adjustment Bureau;106;2011;ABD;127869379;George Nolfi;4 Mart 2011;Mart;spring;George Nolfi;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
581;677;Vacancy;85;2007;ABD;35442935;Mark L. Smith;22 Haziran 2007;Haziran;summer;Nimród Antal;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
582;678;Red;111;2010;Multi Nation;199006387;"Erich Hoeber
                                        ";15 Ekim 2010;Ekim;autumn;Robert Schwentke;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
583;680;The Simpsons Movie;87;2007;ABD;536414270;"Matt Groening
                                        ";27 Temmuz 2007;Temmuz;summer;David Silverman;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
585;682;The Spiderwick Chronicles;96;2008;ABD;164170327;"Karey Kirkpatrick
                                        ";14 Mart 2008;Mart;spring;Mark Waters;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
586;684;Love Actually;135;2003;Multi Nation;244931766;Richard Curtis;23 Ocak 2004;Ocak;winter;Richard Curtis;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
587;685;The Conjuring;112;2013;ABD;319494638;"Chad Hayes
                                        ";30 A?ustos 2013;A?ustos;summer;James Wan;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
588;687;Serendipity;90;2001;ABD;77516304;Marc Klein;24 May?s 2002;May?s;spring;Peter Chelsom;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
589;688;The Princess Diaries 2: Royal Engagement;113;2004;ABD;134734481;Gina Wendkos;10 Aral?k 2004;Aral?k;winter;Garry Marshall;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
590;689;Bedtime Stories;99;2008;ABD;212874864;"Tim Herlihy
                                        ";6 ?ubat 2009;?ubat;winter;Adam Shankman;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
591;690;Match Point;124;2005;Multi Nation;85638656;Woody Allen;17 ?ubat 2006;?ubat;winter;Woody Allen;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
592;692;Good Luck Chuck;101;2007;Multi Nation;59768495;"Josh Stolberg
                                        ";21 Eylül 2007;Eylül;autumn;Mark Helfrich;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
